Tb (°C)	L (mm)	theta (°)	Salinity (g/kg)	Ub (mm/s)
19.6	111.8033989	24.2651	0	2.8
21	111.8033989	24.2651	0	3.34
21	111.8033989	24.2651	0	2.29
21	111.8033989	24.2651	0	2.955
16.7	111.8033989	24.2651	0	1.67
16.7	111.8033989	24.2651	0	1.5
16.7	111.8033989	24.2651	0	1.73
16.7	111.8033989	24.2651	0	1.74
16.7	111.8033989	24.2651	0	1.22
16.7	111.8033989	24.2651	0	2.37
15.4	111.8033989	24.2651	0	1.3
10.4	111.8033989	24.2651	0	0.89
10.4	111.8033989	24.2651	0	0.97
10.4	111.8033989	24.2651	0	0.42
30	111.8033989	24.2651	0	2.71
30	111.8033989	24.2651	0	3.69
20.4	111.8033989	24.2651	0	2.4
20.1	111.8033989	24.2651	0	2.75
21.2	111.8033989	24.2651	0	3.95
20.5	111.8033989	24.2651	0	3.26
20.5	111.8033989	24.2651	0	3.57
21.4	111.8033989	24.2651	0	3.02
21.4	111.8033989	24.2651	0	2.92
24.6	111.8033989	24.2651	0	2.5324
24.6	111.8033989	24.2651	0	1.5843
24.6	111.8033989	24.2651	0	2.1377
24.6	111.8033989	24.2651	0	2.2789
