Tb (°C)	L (mm/s)	theta (°)	Salinity (g/kg)	Ub (mm/s)
22.1	175.69	16.1	0	3.4058
22.1	175.69	16.1	0	2.006
22.1	178.72	19.44	0	3.0814
22.1	178.72	19.44	0	2.8767
22.1	178.72	19.44	0	5.37
21.4	177.5	17.42	0	4.49
21.4	177.5	17.42	0	2.62
21.4	180	16.72	0	3.72
20.9	180	11.78	0	2.72
20.9	180	11.78	0	3.776
20.9	180	11.78	0	1.92
20.9	180	14.22	0	3.216
20.9	180	14.22	0	2.93
20.9	180	14.22	0	1.4486
21.6	168.15	7.87	0	1.3705
21.6	166.33	6.12	0	1.8956
21.6	166.33	6.82	0	1.3492
23.4	180.2776	17.66	0	3.5263
22.8	124	39.82	0	3.0529
