Tb (°C)	L (mm)	theta (°)	salinity (g/kg)	Ub (mm/s)
22.5	88	16	0	2.02
22.5	122	17	0	3.32
22.5	103	15	0	2.89
22.5	178	14	0	2.34
22.5	185	14	0	3.45
22.5	167	16.5	0	3.65
22.5	147	18	0	3.26
22.5	101	17	0	1.7
22.5	72	16	0	1.73
22.5	168	12	0	2.15
22.5	158	10.5	0	3.53
22.5	96	8.5	0	1.73
22	228	14	0	3.63
22	223	16	0	5.38
22	204	18	0	3.22
22	140	20	0	4.18
22	127.5	17	0	4.23
22.5	163.5	15	0	2.11
22.5	144	15	0	4.32
22.5	82	12	0	3.25
23	157.2	31.5	0	3.611
23	138.83	31	0	3.4
22.7	222	25	0	2.88
22.7	213	28	0	5.71
22.7	172	29	0	4.41
22	235	20	0	3.93
22	225	20	0	5.33
22	212	20	0	5.86
22	195	21	0	3.5
22	121.66	31	0	4.25
22	208.67	34	0	3.18
22	171.7	33	0	4.229
22	166.45	34	0	4.369
22	120.85	35	0	3.975
22	133.66	36	0	4.08
23	104.094	18	0	2.22
23	108.962	23	0	3.26
22.75	179.3	13	0	2.15
22.75	168.1	14.5	0	3.08
22.5	184.6	28	0	3.67
22.5	151.8	28	0	2.67
22.5	141.1	28	0	2.61
24	212.16	6	0	4.26
24	198.47	7	0	4.89
24	218.19	6	0	2.45
24	204.52	7	0	6.046
23.5	209	8	0	4.57
